,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
201,10,32,256,3,0.5,10,23.35453987121582,6.758958339691162,82.02448749646516,0.17404964484916466,dur_10_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5,False
202,8,128,128,2,0.0,10,35.55515670776367,17.176403045654297,83.19715214166243,0.26255682413333653,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
203,4,128,256,3,0.0,10,22.621110916137695,7.13663387298584,81.65175503809907,0.17451710636740378,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0,False
204,10,64,256,3,0.5,10,22.7736759185791,6.723817348480225,81.06262694177278,0.17505038951269516,dur_10_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5,False
205,4,64,256,2,0.5,10,29.537513732910156,16.175064086914062,79.15889322559674,0.25013486967711096,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
206,4,32,256,3,0.0,10,33.21615982055664,15.701409339904785,80.29964406470107,0.25698439821690716,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
207,4,32,128,2,0.3,10,26.00240135192871,17.714601516723633,80.54273954572588,0.24044927613699166,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
208,10,128,128,3,0.3,10,22.53955078125,7.399777889251709,82.61152077461122,0.17228477807793316,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3,False
209,8,64,256,2,0.0,10,30.47402572631836,19.844453811645508,80.98912866463891,0.26479337627820154,dur_8_bs_64_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
210,6,64,256,2,0.5,10,23.606964111328125,7.3873701095581055,80.85523001785948,0.18182530586533,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5,False
211,8,64,256,2,0.5,10,24.00138282775879,6.516208648681641,81.65153518602853,0.17640649271664033,dur_8_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5,False
212,2,64,128,2,0.0,10,23.463459014892578,8.134881019592285,79.71027491134875,0.18869787199494015,dur_2_bs_64_lstm_hs_128_lstm_nl_2_dropout_0,False
213,4,64,256,2,0.3,10,34.34024429321289,15.472098350524902,80.33010215942213,0.2597350701866264,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
214,2,128,256,3,0.3,10,23.813386917114258,8.911664962768555,80.25252355260773,0.19181716488283693,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3,False
215,6,32,128,2,0.0,10,23.660762786865234,7.888753414154053,81.89417245058326,0.18093847125119875,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0,False
216,10,128,128,3,0.0,10,22.826007843017578,7.1098222732543945,83.1694893391041,0.1700492543318283,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0,False
217,6,64,128,3,0.5,10,23.988555908203125,6.770710468292236,81.40251609551105,0.17840346304313268,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
